movie_id,official_title,year,director,rt_score,synopsis,imdb_url,wiki_url,poster_url,trailer_url,osu_library_link
1,The Belko Experiment,2016,Greg McLean,55,"In a twisted social experiment, eighty Americans are locked in their high-rise corporate office in Bogota, Colombia, and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",https://www.imdb.com/title/tt1082807/,https://en.wikipedia.org/wiki/The_Belko_Experiment,https://image.tmdb.org/t/p/original/faJK0dP3S92kQoKtO4LZMjy41kf.jpg,,
2,Stir of Echoes,1999,David Koepp,69,A man has visions of a missing neighborhood girl.,https://www.imdb.com/title/tt0164181/,https://en.wikipedia.org/wiki/Stir_of_Echoes,https://image.tmdb.org/t/p/original/9CyJ5aYF27cITX1WSUTENeP4wBE.jpg,,
3,The Babadook,2014,Jennifer Kent,98,"A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",https://www.imdb.com/title/tt2321549/,https://en.wikipedia.org/wiki/The_Babadook,https://image.tmdb.org/t/p/original/mZjILHQRicCYIYKhjXCulXorQ7s.jpg,,https://digitalcampus-swankmp-net.proxy.lib.ohio-state.edu/osu339411/watch/84B87FAEE2531BFA?referrer=direct
4,Blood Red Sky,2021,Peter Thorwarth,81,A woman with a mysterious illness is forced into action when a group of terrorists attempt to hijack a transatlantic overnight flight.,https://www.imdb.com/title/tt6402468/,https://en.wikipedia.org/wiki/Blood_Red_Sky,https://image.tmdb.org/t/p/original/ky8Fua6PD7FyyOA7JACh3GDETli.jpg,,
5,The Conjuring,2013,James Wan,86,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.,https://www.imdb.com/title/tt1457767/,https://en.wikipedia.org/wiki/The_Conjuring,https://image.tmdb.org/t/p/original/wVYREutTvI2tmxr6ujrHT704wGF.jpg,,
6,The Ritual,2017,David Bruckner,74,"A group of old college friends reunite for a trip to a most dangerous country in Europe - Sweden, encountering a menacing presence there stalking them.",https://www.imdb.com/title/tt5638642/,https://en.wikipedia.org/wiki/The_Ritual_(2017_film),https://image.tmdb.org/t/p/original/9022CYEGqYETCeXN1oE3uwYJWub.jpg,,
7,Ginger Snaps,2000,John Fawcett,90,"Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf.",https://www.imdb.com/title/tt0210070/,https://en.wikipedia.org/wiki/Ginger_Snaps_(film),https://image.tmdb.org/t/p/original/4NmAtQdttqG4d1jyIK3vJvuyMov.jpg,,
8,The Strangers,2008,Bryan Bertino,49,"James Hoyt and Kristen McKay visit an isolated vacation home to enjoy some time together. However, they are in for a rude surprise when three masked assailants make their stay a nightmare.",https://www.imdb.com/title/tt0482606/,https://en.wikipedia.org/wiki/The_Strangers_(2008_film),https://image.tmdb.org/t/p/original/vJKkDLOEpHADWZtMnNuQ0xKH3mV.jpg,,
9,Dragonfly,2002,Tom Shadyac,7,A grieving doctor is being contacted by his deceased wife through her patients' near death experiences.,https://www.imdb.com/title/tt0259288/,https://en.wikipedia.org/wiki/Dragonfly_(2002_film),https://image.tmdb.org/t/p/original/4ALbewO2jArzLmnpAfW9IuYFaoL.jpg,,
10,The Others,2001,Alejandro Amenabar,84,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted.",https://www.imdb.com/title/tt0230600/,https://en.wikipedia.org/wiki/The_Others_(2001_film),https://image.tmdb.org/t/p/original/p8g1vlTvpM6nr2hMMiZ1fUlKF0D.jpg,,
